9	10.4	30	30.6
72	73.1	22	23.9
18	18.7	51	52.7
56	56.9	52	53.3
25	25.9	20	20.6
73	74.7	90	91.1
33	34.8	31	32.7
88	90	73	74.6
36	37.4	11	12.5
76	77.3	72	73
25	26.5	72	73.3
94	95.5	43	44.3
30	31.6	9	10.8
84	84.7	97	98.8
6	7.1	27	28.9
58	59.5	56	57.1
13	14.9	34	35.8
64	65.6	7	9
40	41.9	87	88.6
62	63.7	30	31.9
44	45.6	61	62.6
89	90.8	36	37.8
20	20.7	64	65.9
87	88.2	44	46
33	34.5	41	43
82	82.6	66	67
18	19	41	42.1
56	56.8	5	6.5
21	22.2	6	7.1
83	83.8	44	45.6
10	11.7	92	93.5
72	72.6	66	67.2
6	7.7	80	80.6
80	81.7	90	90.8
15	16.6	57	58.3
58	59.2	86	87.9
38	39.8	36	37.1
91	91.9	54	55.1
15	16.3	70	71.2
86	87.9	84	85.1
19	20.1	15	16.3
91	92.4	60	62
27	28.1	94	94.9
82	83.1	62	62.6
39	40.2	86	87.8
81	82.8	88	89.6
27	28.5	32	34
56	57.4	87	88.1
39	40.7	7	8
71	72.4	14	14.7
37	37.6	94	95.2
71	72.3	86	87.5
37	38.2	94	95.2
76	77.4	81	81.8
18	18.7	89	90.2
57	58.4	70	71.9
33	34.4	34	34.7
91	92.4	50	51.6
14	15.3	63	64.4
73	74.2	96	97.3
