6	6.9	11	11.9
90	91.5	86	87.5
30	30.6	69	69.8
62	63.3	59	59.8
12	13	59	60
94	94.7	71	72.4
21	22.3	59	60.9
58	59.2	60	60.6
27	28.6	26	27
75	75.7	58	59.7
43	43.9	91	92.5
92	92.8	35	36.7
10	10.6	19	20
71	72.6	92	93.5
26	27.6	12	13
73	73.8	71	72.9
23	23.7	29	31
69	70.5	63	64.5
22	24	84	85.7
81	82.2	34	35
21	22.9	48	48.7
57	57.6	78	78.6
9	9.9	27	28.8
70	71.2	48	50
41	41.9	48	50
62	63.8	32	32.9
14	14.7	30	31.1
59	60.2	94	94.6
10	11.2	82	83.2
59	60	18	19
5	6.7	54	55.7
85	86.3	93	94.8
17	18.6	96	97
85	86.3	58	59.2
19	20.7	34	36
77	77.9	10	10.9
11	12.4	56	57.8
91	92.3	89	90.9
44	46	7	8.1
63	64.7	51	53
30	30.7	55	55.8
59	60.6	61	62.7
16	17.5	99	100.6
81	82.2	34	35.9
9	9.9	10	11.4
63	63.8	21	23
28	29.8	90	90.7
60	61.6	52	53.2
40	41.3	79	80.1
81	81.9	10	11.3
8	9	76	76.8
57	57.6	66	67.4
44	44.7	37	38.3
64	64.8	37	38.9
25	26.5	55	56
71	72.6	34	35.3
24	25.6	40	41.5
63	64.5	50	51.7
32	34	68	69.9
86	87.4	63	64.4
11	12.1	42	44
63	64.9	45	46
9	10	66	67
75	75.6	70	71.2
31	31.7	66	67.5
92	93.4	56	57.8
24	25.7	27	28.2
64	65.2	46	46.9
12	12.7	56	56.8
87	88.8	41	41.6
26	27.6	47	48.3
86	87.8	19	20.7
42	44	35	35.7
73	74.7	76	77.1
9	10.9	50	51.5
80	81.2	92	93.5
16	17.1	32	32.6
83	84.8	18	19.3
11	12.7	53	53.8
63	64	65	65.8
27	29	53	54.7
57	57.9	22	24
31	31.6	57	58.4
93	94.8	91	92
15	16.3	20	21.2
55	55.6	76	77.1
40	41.3	34	34.8
86	86.7	16	17.9
24	25.9	64	65.2
64	65.8	89	89.8
36	37.4	29	29.7
62	62.6	83	84
42	43.3	73	74.8
63	64.2	6	6.8
6	7.1	7	7.7
64	65.2	21	22.1
31	31.6	82	82.7
91	91.9	96	97.1
11	11.7	69	69.8
72	73.8	28	28.8
